Date,Open,High,Low,Close,Volume,Adj Close
2014-05-05,1230.25,1230.25,1230.25,1230.25,000,1230.25
2014-05-02,1227.56,1227.56,1227.56,1227.56,000,1227.56
2014-04-30,1227.90,1227.90,1227.90,1227.90,000,1227.90
2014-04-29,1221.62,1221.62,1221.62,1221.62,000,1221.62
2014-04-28,1204.22,1204.22,1204.22,1204.22,000,1204.22
2014-04-25,1210.56,1210.56,1210.56,1210.56,000,1210.56
2014-04-24,1223.38,1223.38,1223.38,1223.38,000,1223.38
2014-04-23,1224.04,1224.04,1224.04,1224.04,000,1224.04
2014-04-22,1228.14,1228.14,1228.14,1228.14,000,1228.14
2014-04-17,1199.12,1199.12,1199.12,1199.12,000,1199.12
2014-04-16,1187.51,1187.51,1187.51,1187.51,000,1187.51
2014-04-15,1156.85,1156.85,1156.85,1156.85,000,1156.85
2014-04-14,1177.15,1177.15,1177.15,1177.15,000,1177.15
2014-04-11,1206.78,1206.78,1206.78,1206.78,000,1206.78
2014-04-10,1224.54,1224.54,1224.54,1224.54,000,1224.54
2014-04-09,1241.21,1241.21,1241.21,1241.21,000,1241.21
2014-04-08,1220.94,1220.94,1220.94,1220.94,000,1220.94
2014-04-07,1236.08,1236.08,1236.08,1236.08,000,1236.08
2014-04-04,1273.95,1273.95,1273.95,1273.95,000,1273.95
2014-04-03,1270.35,1270.35,1270.35,1270.35,000,1270.35
2014-04-02,1272.52,1272.52,1272.52,1272.52,000,1272.52
2014-04-01,1265.73,1265.73,1265.73,1265.73,000,1265.73
2014-03-31,1251.98,1251.98,1251.98,1251.98,000,1251.98
2014-03-28,1246.05,1246.05,1246.05,1246.05,000,1246.05
2014-03-27,1240.64,1240.64,1240.64,1240.64,000,1240.64
2014-03-26,1236.46,1236.46,1236.46,1236.46,000,1236.46
2014-03-25,1221.05,1221.05,1221.05,1221.05,000,1221.05
2014-03-24,1206.25,1206.25,1206.25,1206.25,000,1206.25
2014-03-21,1237.02,1237.02,1237.02,1237.02,000,1237.02
2014-03-20,1244.78,1244.78,1244.78,1244.78,000,1244.78
2014-03-19,1256.23,1256.23,1256.23,1256.23,000,1256.23
2014-03-18,1253.43,1253.43,1253.43,1253.43,000,1253.43
2014-03-17,1244.04,1244.04,1244.04,1244.04,000,1244.04
2014-03-14,1211.98,1211.98,1211.98,1211.98,000,1211.98
2014-03-13,1222.76,1222.76,1222.76,1222.76,000,1222.76
2014-03-12,1247.80,1247.80,1247.80,1247.80,000,1247.80
2014-03-11,1267.60,1267.60,1267.60,1267.60,000,1267.60
2014-03-10,1266.60,1266.60,1266.60,1266.60,000,1266.60
2014-03-07,1273.66,1273.66,1273.66,1273.66,000,1273.66
2014-03-06,1292.52,1292.52,1292.52,1292.52,000,1292.52
2014-03-05,1281.32,1281.32,1281.32,1281.32,000,1281.32
2014-03-04,1275.75,1275.75,1275.75,1275.75,000,1275.75
2014-03-03,1241.21,1241.21,1241.21,1241.21,000,1241.21
2014-02-28,1286.10,1286.10,1286.10,1286.10,000,1286.10
2014-02-27,1262.09,1262.09,1262.09,1262.09,000,1262.09
2014-02-26,1269.24,1269.24,1269.24,1269.24,000,1269.24
2014-02-25,1270.22,1270.22,1270.22,1270.22,000,1270.22
2014-02-24,1275.90,1275.90,1275.90,1275.90,000,1275.90
2014-02-21,1265.32,1265.32,1265.32,1265.32,000,1265.32
2014-02-20,1260.29,1260.29,1260.29,1260.29,000,1260.29
2014-02-19,1269.99,1269.99,1269.99,1269.99,000,1269.99
2014-02-18,1269.97,1269.97,1269.97,1269.97,000,1269.97
2014-02-17,1271.63,1271.63,1271.63,1271.63,000,1271.63
2014-02-14,1257.26,1257.26,1257.26,1257.26,000,1257.26
2014-02-13,1256.49,1256.49,1256.49,1256.49,000,1256.49
2014-02-12,1251.82,1251.82,1251.82,1251.82,000,1251.82
2014-02-11,1242.34,1242.34,1242.34,1242.34,000,1242.34
2014-02-10,1228.47,1228.47,1228.47,1228.47,000,1228.47
2014-02-07,1224.78,1224.78,1224.78,1224.78,000,1224.78
2014-02-06,1220.89,1220.89,1220.89,1220.89,000,1220.89
2014-02-05,1199.16,1199.16,1199.16,1199.16,000,1199.16
2014-02-04,1202.91,1202.91,1202.91,1202.91,000,1202.91
2014-02-03,1211.94,1211.94,1211.94,1211.94,000,1211.94
2014-01-31,1221.15,1221.15,1221.15,1221.15,000,1221.15
2014-01-30,1219.73,1219.73,1219.73,1219.73,000,1219.73
2014-01-29,1217.67,1217.67,1217.67,1217.67,000,1217.67
2014-01-28,1224.00,1224.00,1224.00,1224.00,000,1224.00
2014-01-27,1194.27,1194.27,1194.27,1194.27,000,1194.27
2014-01-24,1219.86,1219.86,1219.86,1219.86,000,1219.86
2014-01-23,1249.34,1249.34,1249.34,1249.34,000,1249.34
2014-01-22,1264.22,1264.22,1264.22,1264.22,000,1264.22
2014-01-21,1253.46,1253.46,1253.46,1253.46,000,1253.46
2014-01-20,1249.67,1249.67,1249.67,1249.67,000,1249.67
2014-01-17,1252.90,1252.90,1252.90,1252.90,000,1252.90
2014-01-16,1242.82,1242.82,1242.82,1242.82,000,1242.82
2014-01-15,1246.49,1246.49,1246.49,1246.49,000,1246.49
2014-01-14,1226.91,1226.91,1226.91,1226.91,000,1226.91
2014-01-13,1227.46,1227.46,1227.46,1227.46,000,1227.46
2014-01-10,1215.29,1215.29,1215.29,1215.29,000,1215.29
2014-01-09,1199.88,1199.88,1199.88,1199.88,000,1199.88
2014-01-08,1194.70,1194.70,1194.70,1194.70,000,1194.70
